taxonomy	UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Ornithinimicrobium sp. AMA3305	4	0	4	4	2	0	320	284	17	21	1	0	1	1	39	43	2	0	1	1	61	66	215	210	3	1	26	25	24	23	2	2	2	0	0	2	0	1	1	0
Phycicoccus dokdonensis	8	3	10	4	0	0	245	252	11	16	0	0	4	4	56	49	0	0	0	0	64	39	270	281	0	1	8	15	11	26	0	0	6	0	3	1	0	1	1	0
Janibacter limosus	3	1	6	7	7	8	185	146	12	6	0	0	5	0	147	111	1	0	0	0	107	122	279	218	1	1	35	24	25	28	0	0	0	1	0	2	0	0	0	0
Janibacter indicus	2	4	3	4	6	3	400	382	4	15	0	1	2	4	204	253	0	0	0	0	165	125	323	303	1	0	42	43	54	48	1	0	1	2	1	0	0	1	2	1
Arsenicicoccus sp. oral taxon 190	6	1	10	5	2	3	438	393	11	7	1	0	4	2	50	50	0	2	1	4	77	47	271	180	0	1	23	22	11	28	1	0	3	1	1	0	0	1	1	0
Intrasporangium calvum	2	7	12	9	10	9	296	301	12	14	0	0	1	2	56	48	2	1	5	2	46	47	195	201	0	0	19	18	8	14	0	0	3	0	2	0	0	0	1	0
Cellulosimicrobium cellulans	7	2	6	6	10	5	263	261	14	5	0	0	1	2	35	41	2	0	1	1	72	51	157	149	0	2	16	25	14	26	3	0	11	3	2	5	1	2	0	1
Cellulosimicrobium sp. TH-20	4	2	15	3	3	8	160	157	4	2	1	2	14	6	71	78	0	0	0	0	61	48	161	177	1	0	16	25	8	16	2	0	4	7	1	1	1	1	1	1
Isoptericola variabilis	7	7	11	14	0	4	290	275	9	10	0	0	3	3	39	41	0	0	0	0	34	52	226	209	0	0	14	16	33	21	1	1	2	0	1	1	1	0	0	1
Isoptericola dokdonensis	1	1	4	5	5	1	446	411	11	7	0	1	10	1	20	19	1	0	1	0	35	39	205	215	0	1	13	8	16	16	0	0	4	2	2	0	0	0	0	0
Xylanibacterium sp. 2JSPR-7	7	2	6	2	8	23	541	495	9	15	0	2	3	2	25	40	1	2	0	2	33	43	115	133	1	0	12	8	12	10	0	0	4	2	0	0	0	0	1	0
Xylanimonas cellulosilytica	5	10	14	8	6	5	558	571	6	7	1	2	3	6	21	37	0	1	1	0	60	56	113	140	2	1	15	17	17	19	0	0	1	2	1	1	0	0	0	3
Xylanimicrobium sp. FW10M-9	2	0	4	8	6	4	374	337	9	4	0	0	0	1	17	31	1	1	0	0	29	46	168	158	0	0	23	14	18	15	0	3	2	3	1	1	1	0	1	1
Brevibacterium aurantiacum	11	21	5	10	15	10	11557	10869	15	21	0	1	24	17	33	48	2	0	0	0	43	48	55	87	0	0	44	22	20	18	0	2	2	1	1	3	0	0	1	0
Brevibacterium linens	6	9	12	12	22	20	626	540	9	14	0	0	9	13	23	32	0	0	0	0	66	48	252	208	0	1	111	85	23	18	1	0	0	0	0	1	1	0	1	0
Brevibacterium sp. CS2	5	8	9	12	3	2	891	864	18	18	0	0	5	9	270	192	0	0	0	0	339	288	359	331	0	1	106	110	58	61	1	1	2	0	1	2	0	0	1	0
Brevibacterium sandarakinum	4	0	3	2	6	22	310	281	23	16	0	0	11	9	32	26	0	0	2	0	26	35	42	38	0	0	15	16	11	4	0	0	1	0	0	0	0	0	0	0
Brevibacterium siliguriense	2	4	3	4	13	13	206	214	7	9	1	0	3	2	11	11	0	0	1	0	34	27	65	65	0	0	31	23	8	4	0	0	0	0	1	0	0	0	1	0
Brachybacterium faecium	5	6	17	15	5	9	359	339	23	11	0	0	13	13	56	31	0	2	1	3	97	101	170	153	0	0	23	16	23	19	1	0	14	18	0	1	1	1	2	0
Brachybacterium ginsengisoli	4	6	5	7	4	6	759	746	11	3	0	0	4	3	63	51	1	0	0	0	114	124	130	142	1	0	36	36	25	18	1	0	0	1	0	0	0	0	0	1
Brachybacterium saurashtrense	2	1	8	6	7	1	470	444	11	11	0	0	3	3	52	45	0	0	3	2	134	125	140	133	0	1	40	27	21	27	2	2	0	2	3	4	0	0	1	1
Brachybacterium sp. P6-10-X1	1	4	12	17	16	21	533	492	17	11	0	1	5	5	62	32	1	0	0	1	87	101	137	121	2	0	31	29	26	21	0	0	6	0	4	3	1	0	0	1
Brachybacterium sp. VR2415	1	0	3	0	10	3	555	542	13	5	0	0	0	1	46	58	0	0	0	2	86	119	92	86	0	0	33	27	18	18	0	0	0	0	1	2	0	0	0	0
Dermabacter vaginalis	4	5	8	9	4	11	1804	1825	32	30	0	0	17	10	12	16	0	0	0	0	31	35	24	32	0	0	10	5	10	11	0	0	0	1	0	1	0	0	0	0
Dermacoccus nishinomiyaensis	10	8	0	7	20	17	472	438	14	9	0	0	7	2	614	624	1	1	5	5	562	539	810	719	0	0	71	71	114	131	2	2	3	6	0	0	0	0	2	4
Luteipulveratus mongoliensis	6	2	8	6	3	8	161	110	11	13	2	1	2	6	20	40	2	1	0	0	41	52	153	139	1	0	12	19	15	10	0	0	1	2	0	0	0	0	0	0
Kytococcus sedentarius	2	2	8	6	1	1	209	202	11	16	0	1	7	5	75	87	0	0	0	0	383	342	171	164	0	0	193	116	30	29	0	1	1	1	1	1	0	0	0	0
Cellulomonas sp. Z28	6	6	6	3	18	11	253	278	4	4	1	1	7	7	36	30	1	3	3	1	48	57	198	208	0	1	8	20	11	12	0	3	12	14	1	3	0	0	0	0
Cellulomonas gilvus	3	3	9	12	6	2	212	166	5	9	2	1	9	1	27	29	0	0	2	0	35	35	163	157	0	2	17	21	7	8	0	0	2	3	2	1	2	2	1	1
Cellulomonas sp. PSBB021	3	1	4	7	3	3	406	378	7	10	0	0	0	2	27	33	0	2	0	0	56	43	170	192	1	0	19	15	14	19	1	0	5	7	0	2	1	0	3	1
Cellulomonas fimi	2	0	11	20	12	8	319	292	6	10	0	0	1	4	34	32	0	0	0	2	58	52	222	233	0	0	26	20	20	4	1	0	11	11	3	4	2	0	0	0
Cellulomonas flavigena	1	4	14	7	10	3	379	363	0	5	0	2	6	1	33	23	0	0	0	0	38	32	222	191	1	2	7	5	19	14	0	2	2	5	2	2	0	0	1	1
Paraoerskovia marina	1	5	6	1	13	11	482	538	5	16	1	0	0	0	11	17	0	0	1	1	23	37	81	88	0	0	13	10	12	10	0	0	2	2	1	1	0	0	2	0
Beutenbergia cavernae	4	3	14	11	18	4	430	444	20	14	1	4	6	7	49	59	2	4	0	1	51	68	195	185	2	1	31	17	19	22	1	0	7	5	6	4	0	0	4	1
Miniimonas sp. S16	2	10	13	7	15	15	188	179	19	19	0	0	0	1	47	39	0	1	1	0	48	58	188	182	0	1	23	13	19	17	0	0	3	1	3	1	0	2	0	0
Georgenia sp. ZLJ0423	5	5	5	14	4	0	711	635	15	16	0	1	2	2	52	71	1	0	2	0	69	74	201	212	0	0	31	32	22	18	2	0	8	4	0	0	1	1	1	0
Austwickia chelonae	2	5	8	10	7	12	545	502	8	9	1	1	25	4	30	11	3	0	0	0	28	10	42	34	1	0	14	8	10	4	0	0	1	2	4	1	0	3	2	0
Dermatophilus congolensis	1	5	2	6	2	5	84	116	0	4	0	0	8	4	4	10	0	1	2	1	9	3	16	15	1	0	3	1	2	1	1	0	0	0	1	2	0	1	0	0
Sanguibacter keddieii	3	6	15	11	5	5	798	740	6	7	1	1	4	11	45	35	0	0	0	0	68	43	174	173	0	0	23	18	10	13	0	0	11	3	0	0	1	1	0	0
Streptomyces sp. ICC1	1095	1241	700	667	1165	1131	10093	9884	500	518	58425	59122	816	847	2420	2246	829	908	1743	1653	11538	11264	2774	2915	931	897	3420	3215	2187	2027	355	372	2025	2011	3558	3512	1587	1551	1936	1835
Streptomyces sp. ICC4	247	261	562	630	284	316	1337	1376	194	237	209	248	273	312	811	696	227	261	417	385	2254	2236	770	748	286	296	784	749	553	525	192	218	365	363	761	823	236	241	951	999
Streptomyces rubrolavendulae	20	20	5	2	1	5	120	76	7	2	2	1	4	0	26	23	2	2	1	1	51	50	144	136	2	1	15	10	10	10	1	2	0	1	2	3	0	1	0	1
Streptomyces sp. ETH9427	16	29	85	91	56	63	375	300	28	23	16	11	57	49	200	171	29	26	39	53	392	371	233	255	43	43	266	205	136	154	27	34	40	46	92	68	40	26	60	39
Streptomyces sp. TLI_053	15	10	20	10	5	7	224	218	13	12	9	2	12	4	45	62	8	13	6	11	100	100	214	197	10	2	35	26	13	17	4	1	9	3	10	12	1	5	6	3
Streptomyces sp. GSSD-12	10	7	6	5	10	6	250	247	10	5	1	0	0	1	39	36	2	1	2	3	66	60	114	81	1	1	26	24	10	23	2	0	0	4	3	3	1	2	1	2
Streptomyces sp. SCSIO 03032	10	3	12	7	14	11	329	241	4	5	3	5	3	2	28	42	0	2	0	1	66	65	166	184	1	2	17	26	8	5	0	1	2	1	3	3	3	2	4	0
Streptomyces sp. CMB-StM0423	10	4	2	14	10	3	225	193	9	12	7	13	6	7	24	37	4	10	4	7	23	29	79	61	8	4	13	17	9	4	7	5	11	14	9	6	3	2	6	6
Streptomyces hygroscopicus	8	12	19	18	8	10	314	252	3	7	3	1	3	8	59	42	10	2	4	3	74	79	148	126	7	1	27	21	21	20	3	4	7	2	5	7	5	2	6	3
Streptomyces lydicus	8	12	11	11	23	18	650	650	15	18	3	6	44	26	70	71	5	3	6	1	105	112	228	215	3	2	56	50	26	30	4	3	6	5	10	8	5	3	4	6
Streptomyces cattleya	8	7	6	10	11	6	97	90	2	5	3	3	2	6	53	40	2	1	1	0	42	61	176	145	1	1	17	24	20	25	3	1	2	4	4	5	1	0	0	2
Streptomyces sp. CdTB01	8	9	13	9	12	8	465	392	10	11	1	4	4	3	53	47	4	1	2	2	83	62	126	153	0	3	19	22	12	5	1	3	5	2	6	3	1	3	0	0
Streptomyces lincolnensis	7	1	9	8	16	9	230	223	9	11	0	3	3	3	43	45	0	0	0	1	55	79	106	111	2	0	18	12	10	14	2	0	2	1	81	92	1	1	0	2
Streptomyces olivaceus	7	2	5	1	0	0	113	107	2	2	1	0	0	0	21	37	1	0	2	1	126	119	76	89	1	0	2	12	10	8	1	0	3	2	5	10	0	2	3	2
Streptomyces bingchenggensis	7	8	3	8	63	47	367	385	6	18	2	3	4	4	43	31	1	2	2	0	56	42	156	133	1	1	27	23	8	15	3	5	2	4	6	7	4	3	1	0
Streptomyces niveus	7	6	17	22	27	9	414	367	7	7	1	2	3	6	70	77	0	3	2	1	97	90	191	189	3	4	40	33	39	31	1	5	5	4	10	10	1	2	3	2
Streptomyces pactum	6	1	6	2	6	13	195	224	11	16	0	1	3	5	35	20	1	2	0	0	44	43	81	100	0	0	13	12	12	6	0	0	2	1	3	1	0	2	0	0
Streptomyces globisporus	2	1	7	8	6	3	534	510	16	11	1	1	11	11	23	40	1	1	2	1	26	35	64	74	0	1	14	15	8	11	2	1	2	3	1	1	1	0	1	1
Streptomyces anulatus	2	3	3	1	2	4	62	61	9	14	0	2	1	0	14	26	0	0	0	0	19	37	79	60	1	0	14	12	15	2	1	1	0	0	0	5	2	0	0	1
Streptomyces griseus	1	2	3	8	13	11	130	122	4	2	0	0	4	1	28	37	2	1	0	4	34	41	103	73	0	1	28	26	6	8	1	0	0	1	4	2	2	2	4	2
Streptomyces sp. 2323.1	6	3	11	6	4	2	100	108	5	1	1	1	6	7	38	30	3	1	2	0	41	36	78	80	3	2	11	17	20	12	3	3	1	0	8	3	0	1	1	4
Streptomyces violaceoruber	6	4	6	7	4	7	57	58	5	7	1	1	0	2	29	22	0	2	1	0	39	53	79	94	1	1	13	17	8	12	1	2	3	1	4	0	1	2	1	1
Streptomyces lavendulae	6	1	8	8	5	9	153	181	6	2	1	0	7	3	45	47	1	2	3	4	80	70	93	113	1	0	31	21	8	16	1	1	2	4	6	3	0	0	1	2
Streptomyces sp. MK-45	6	1	15	8	4	5	309	242	12	4	1	0	3	12	47	38	0	1	1	0	67	65	124	142	3	0	29	28	31	20	0	1	2	4	2	3	1	3	0	2
Streptomyces sp. ZFG47	5	0	2	4	5	12	312	308	12	8	1	1	1	10	28	15	1	3	1	1	45	66	118	108	0	0	33	25	17	15	0	2	0	1	1	2	0	0	1	4
Streptomyces parvulus	5	1	5	4	3	0	221	190	6	1	0	2	0	2	18	18	3	0	1	4	44	44	114	120	0	0	24	5	11	13	1	1	1	0	4	2	1	1	3	3
Streptomyces formicae	5	11	5	7	29	44	353	357	14	4	0	2	12	5	17	26	1	0	3	1	34	30	117	113	1	0	16	16	8	6	1	0	2	0	3	1	1	1	4	1
Streptomyces sp. P3	5	3	6	8	7	7	139	146	17	20	1	1	8	2	39	34	1	0	1	0	47	33	115	103	0	4	18	13	17	14	1	3	1	2	2	6	0	1	0	0
Streptomyces clavuligerus	5	2	10	6	6	1	145	148	11	12	1	1	4	3	37	64	4	3	1	2	80	54	156	126	1	1	24	24	20	16	1	1	0	5	6	8	2	1	1	1
Streptomyces olivoreticuli	5	2	3	3	9	8	176	157	6	1	0	3	1	3	40	27	4	1	1	0	40	50	102	103	1	1	17	10	12	7	2	1	0	6	4	1	3	2	1	2
Streptomyces sp. RTd22	5	2	8	11	8	10	395	362	5	7	2	4	14	14	39	51	4	1	1	1	67	62	162	165	2	2	24	22	30	18	2	1	1	2	7	6	1	1	4	2
Streptomyces sp. CB09001	5	2	4	4	9	14	94	97	5	19	0	0	3	2	8	12	1	1	1	2	13	27	64	68	0	1	4	3	6	12	0	2	3	1	3	4	0	2	0	1
Streptomyces globosus	5	3	20	7	0	1	177	186	8	6	1	0	5	4	30	39	1	3	1	2	43	76	124	132	5	3	17	20	15	13	0	0	2	3	5	1	1	2	2	2
Streptomyces sp. endophyte_N2	5	2	4	7	2	3	270	304	13	24	1	2	17	22	46	20	0	2	0	4	79	66	112	108	0	1	25	22	21	14	0	3	1	3	2	3	0	0	2	2
Streptomyces sp. Go-475	5	2	5	1	2	4	139	132	19	17	2	1	14	10	18	28	1	0	3	1	53	25	70	71	0	1	13	7	5	13	1	2	3	2	2	2	1	1	0	0
Streptomyces sp. CNQ-509	5	1	4	5	2	4	88	72	1	0	2	0	1	1	27	23	0	0	2	0	22	31	66	50	0	0	8	12	7	5	0	2	1	0	0	2	1	2	3	1
Streptomyces sp. ADI95-16	5	16	13	12	6	5	96	109	6	4	12	10	12	5	8	5	3	13	4	8	14	7	57	51	5	2	4	3	9	4	9	1	2	3	14	15	1	1	4	4
Streptomyces scabiei	5	4	9	7	4	1	218	225	5	6	3	1	23	14	55	28	1	2	1	1	38	51	159	95	1	0	14	28	6	14	6	1	0	2	1	6	1	2	2	2
Streptomyces sp. SM18	5	7	3	8	6	9	268	242	6	5	0	1	8	4	46	54	0	0	0	0	65	40	123	139	1	2	31	29	17	20	3	2	3	0	2	2	1	1	2	2
Streptomyces sp. W1SF4	4	2	7	6	3	4	237	197	1	6	2	4	7	10	35	40	2	4	3	4	52	50	98	109	0	3	14	14	13	7	2	0	1	2	2	6	4	1	0	2
Streptomyces fulvissimus	4	2	5	2	5	1	95	86	3	1	3	0	1	3	27	18	0	1	1	1	31	42	65	63	1	0	13	15	15	5	0	2	1	2	2	2	3	1	1	2
Streptomyces griseorubiginosus	4	1	6	5	8	4	309	258	9	3	1	0	2	0	28	15	0	0	0	0	47	44	93	83	3	0	14	15	21	11	1	1	1	1	3	1	3	0	1	0
Streptomyces lunaelactis	4	1	4	6	2	4	170	132	5	6	0	1	5	5	37	37	1	1	3	1	34	38	94	93	2	1	10	13	6	4	1	1	1	0	1	2	1	2	0	1
Streptomyces atratus	4	4	2	12	4	6	220	255	17	12	1	0	17	10	19	19	0	3	0	2	25	18	66	68	3	0	8	14	2	5	0	1	1	1	0	2	0	2	0	0
Streptomyces autolyticus	4	0	0	0	0	1	10	2	7	1	0	1	5	1	2	4	0	0	1	0	5	7	9	1	1	0	4	4	6	2	1	0	0	1	3	1	0	0	1	0
Streptomyces dengpaensis	3	2	10	2	21	5	122	99	3	13	1	0	0	5	41	34	3	0	1	2	32	37	81	72	5	2	25	20	9	17	0	2	0	3	5	1	2	2	1	1
Streptomyces koyangensis	3	2	4	8	2	1	129	138	4	10	0	1	1	8	12	7	2	0	2	0	27	19	56	65	0	1	4	6	3	8	0	1	0	0	3	5	0	1	1	3
Streptomyces vietnamensis	3	7	11	6	7	3	440	385	9	6	3	1	3	1	21	31	2	1	2	4	33	48	107	100	0	1	16	17	3	10	4	0	2	0	2	4	0	1	2	2
Streptomyces sp. M2	3	5	14	4	15	11	98	69	5	10	0	0	1	1	35	28	0	0	2	1	35	25	125	118	0	1	15	13	21	14	1	1	0	0	3	4	1	0	0	0
Streptomyces katrae	3	15	2	11	12	12	115	142	6	5	2	2	4	0	32	31	2	1	4	0	41	33	109	112	4	7	27	16	9	16	2	3	3	2	4	2	1	2	3	0
Streptomyces sp. fd1-xmd	3	4	17	9	2	6	69	91	1	1	3	1	13	6	22	23	0	0	1	1	41	28	91	106	2	0	16	11	13	6	1	1	2	0	37	19	2	0	2	0
Streptomyces alboflavus	3	0	8	6	5	2	65	52	19	9	3	1	2	5	43	47	0	1	5	1	55	72	150	139	0	1	29	18	5	7	1	0	3	6	6	1	1	0	3	2
Streptomyces antibioticus	3	0	7	6	2	3	443	416	13	15	1	1	1	3	50	48	1	2	1	3	44	66	97	102	0	0	19	18	8	14	0	1	1	1	2	3	1	2	1	0
Streptomyces griseoviridis	3	6	14	4	4	7	187	217	8	11	3	2	8	5	28	30	1	2	4	2	59	66	144	88	4	1	26	16	20	6	0	4	5	2	2	4	1	1	1	0
Streptomyces albulus	3	6	6	8	13	11	84	87	4	8	1	0	17	16	32	23	3	1	0	1	37	44	148	135	0	0	17	10	11	11	5	1	2	6	12	17	2	0	2	1
Streptomyces sp. WAC 01438	3	1	2	6	3	2	287	234	3	6	1	0	2	6	22	32	2	1	1	0	57	27	80	98	1	1	22	15	17	12	6	2	1	2	3	7	1	1	0	2
Streptomyces albireticuli	3	2	6	9	4	2	384	378	12	16	0	2	5	6	46	47	1	3	0	3	34	47	129	121	1	2	14	15	11	12	3	0	1	4	6	5	1	0	1	3
Streptomyces sp. Z022	2	5	3	1	8	7	193	181	3	2	4	0	2	2	26	14	4	3	1	4	44	25	89	109	0	1	21	8	4	11	1	0	3	1	3	6	1	2	0	3
Streptomyces sp. GGCR-6	2	2	14	3	4	4	139	127	7	8	1	1	0	4	35	27	1	0	5	4	88	41	135	111	2	2	19	20	15	23	0	1	1	1	4	3	1	6	1	1
Streptomyces spongiicola	2	0	9	5	8	11	234	233	7	8	1	2	5	3	20	31	0	0	2	0	24	30	106	91	0	0	21	15	5	10	0	3	2	1	6	4	2	0	1	1
Streptomyces xinghaiensis	2	2	4	6	27	35	175	180	21	11	3	1	2	2	40	38	1	1	3	1	38	48	132	137	0	0	15	7	10	7	1	3	6	0	5	3	3	2	1	1
Streptomyces hundungensis	2	3	3	7	7	2	73	89	11	3	0	0	0	5	32	17	3	2	1	0	35	26	73	94	4	0	5	12	8	6	1	3	3	1	10	12	0	6	1	2
Streptomyces sp. CCM_MD2014	2	1	4	1	0	2	107	92	7	1	2	0	2	0	21	18	1	0	0	1	20	14	69	48	0	1	10	5	4	8	1	0	0	0	5	2	0	0	2	1
Streptomyces leeuwenhoekii	2	1	2	2	7	9	10	13	3	1	0	0	1	1	19	16	1	0	1	3	23	43	61	44	0	0	11	12	8	1	2	1	2	1	0	6	1	1	1	0
Streptomyces pluripotens	2	2	4	2	2	2	15	27	2	0	1	1	8	5	24	34	0	0	0	2	43	27	88	68	1	0	15	10	18	10	1	0	0	0	2	5	0	0	1	2
Streptomyces sp. 4F	2	4	6	7	9	7	311	246	2	4	1	0	3	6	28	14	1	1	0	0	26	32	84	75	1	1	3	10	13	5	2	0	2	0	0	5	1	0	0	0
Streptomyces nigra	2	1	7	3	9	7	92	84	14	7	1	1	2	6	60	36	1	0	0	1	37	46	113	96	2	1	19	14	12	13	1	0	2	1	2	5	1	4	4	2
Streptomyces gilvosporeus	2	0	4	2	6	1	280	263	21	19	0	2	6	2	24	28	2	3	1	1	35	25	75	66	1	1	15	9	10	7	3	0	1	1	5	8	3	2	1	2
Streptomyces ambofaciens	2	4	4	9	11	1	192	193	9	2	0	1	3	6	27	28	4	0	0	6	62	36	118	116	1	2	29	10	5	17	2	0	1	1	6	7	1	1	2	3
Streptomyces sp. KPB2	2	2	0	3	1	0	115	102	0	0	2	0	1	1	21	16	1	0	1	0	11	15	29	47	1	1	6	9	5	3	0	0	1	2	0	0	0	0	1	2
Streptomyces lividans	2	1	1	0	2	1	117	96	0	0	1	0	0	0	2	1	1	0	0	0	3	1	11	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces reticuli	2	2	26	26	13	10	172	182	9	7	0	1	3	5	20	33	7	7	1	1	46	26	106	98	1	1	17	19	20	11	1	1	2	2	4	4	0	0	2	0
Streptomyces peucetius	2	2	7	3	19	7	508	495	10	6	1	1	4	6	18	23	1	1	1	0	40	41	65	67	1	0	17	15	8	6	0	1	3	0	16	9	0	4	0	1
Streptomyces avermitilis	2	6	4	5	0	2	358	301	5	8	0	0	4	4	27	37	2	0	2	0	59	53	106	117	0	2	20	18	17	13	0	0	0	1	3	3	0	3	1	1
Streptomyces collinus	2	2	5	11	3	9	339	327	4	8	2	1	4	7	30	34	2	0	1	2	28	51	97	112	0	1	13	20	5	11	1	1	3	5	3	0	1	1	2	2
Streptomyces venezuelae	2	8	11	7	63	58	783	748	21	21	2	2	3	13	54	49	0	3	2	8	80	54	208	202	1	4	36	28	12	18	3	2	2	7	9	5	1	2	1	2
Streptomyces luteoverticillatus	2	3	8	12	12	10	535	481	7	4	0	0	3	1	36	43	1	2	1	1	63	42	112	110	0	0	11	18	18	13	4	1	0	2	4	5	2	2	2	1
Streptomyces sp. NEAU-S7GS2	2	0	2	3	9	10	47	60	5	2	2	0	3	1	18	16	0	1	0	1	38	19	55	51	0	0	13	7	7	7	0	1	1	0	2	0	0	0	0	0
Streptomyces griseochromogenes	2	2	11	10	0	8	491	429	2	6	0	3	11	12	21	29	4	8	3	3	40	23	81	100	3	4	11	10	17	9	1	3	5	4	4	7	1	1	7	0
Streptomyces violaceusniger	2	2	3	4	1	1	313	314	7	7	0	0	0	1	13	12	1	0	2	1	9	13	58	77	0	1	13	8	4	8	1	1	0	2	4	3	0	1	2	3
Streptomyces sp. Tu6071	2	0	1	5	0	0	6	3	1	0	0	0	1	2	8	7	0	0	2	0	7	5	20	11	0	0	9	5	0	0	1	0	0	0	0	1	0	0	0	0
Streptomyces sp. 3214.6	2	3	8	1	1	2	154	128	4	8	1	2	0	2	37	24	3	0	0	3	43	45	102	84	2	0	23	11	9	5	1	1	1	1	2	0	0	0	0	0
Streptomyces sp. SAT1	2	3	7	13	11	6	389	359	5	6	0	1	5	1	38	27	2	1	4	1	41	30	121	115	0	0	22	17	10	14	0	2	1	1	7	7	0	2	4	5
Streptomyces qaidamensis	1	4	13	12	14	12	283	210	12	5	1	2	1	3	36	25	0	1	0	4	47	58	104	83	1	1	18	10	10	11	2	1	2	1	2	1	2	1	0	1
Streptomyces sp. WAC00288	1	2	2	4	6	5	41	42	6	7	1	1	10	9	41	37	1	2	1	0	59	83	131	109	0	0	26	14	12	18	3	1	1	1	4	2	1	1	0	2
Streptomyces albus	1	5	11	12	5	0	106	92	8	11	2	2	1	4	45	52	1	1	2	2	65	54	183	164	0	3	34	22	11	13	0	1	2	1	9	3	1	0	2	2
Streptomyces sp. Tue 6075	1	0	1	3	3	5	207	168	4	2	0	1	4	1	4	8	1	2	2	0	26	29	34	57	0	0	15	12	12	8	3	0	2	0	0	1	0	0	1	0
Streptomyces sp. Mg1	1	0	2	5	3	0	39	34	1	6	0	2	3	3	12	22	1	1	0	0	15	21	46	54	0	1	10	18	8	5	1	0	1	2	2	4	1	1	0	0
Streptomyces puniciscabiei	1	1	5	8	4	3	121	65	4	12	0	0	1	6	35	15	2	1	1	0	41	52	105	97	1	0	18	16	9	14	0	3	1	0	5	7	3	1	4	0
Streptomyces sp. FR-008	1	0	1	1	0	0	1	1	0	0	0	0	0	1	7	12	0	1	0	1	8	7	13	11	0	0	6	2	1	2	0	0	0	0	0	1	2	0	0	0
Streptomyces sp. TN58	1	3	7	5	7	16	333	278	5	3	2	1	8	9	18	29	1	1	0	0	58	55	106	94	0	0	18	7	11	6	0	0	2	2	1	2	1	0	4	1
Streptomyces roseochromogenus	1	7	6	7	3	3	83	82	10	13	1	2	2	0	48	33	1	2	2	1	50	65	114	99	2	2	37	22	25	13	4	2	3	1	3	2	0	0	0	4
Streptomyces seoulensis	1	3	7	6	1	0	48	55	4	9	0	1	0	0	24	15	0	1	0	1	34	32	92	86	1	1	3	8	12	5	1	0	2	1	2	0	2	2	2	1
Streptomyces nodosus	1	1	8	5	2	4	187	182	0	1	1	1	34	26	27	38	0	2	4	0	39	50	86	88	0	0	22	20	10	9	1	1	0	1	1	2	3	1	3	0
Streptomyces xiamenensis	1	1	3	1	6	4	69	57	4	5	2	0	1	1	45	52	0	0	4	0	72	39	166	119	2	0	33	22	12	19	2	1	1	2	2	3	0	2	0	3
Streptomyces pristinaespiralis	1	2	3	9	3	5	429	459	7	6	3	1	2	1	40	42	2	3	1	3	61	56	127	82	1	2	23	19	19	15	1	0	1	1	2	2	1	3	2	1
Streptomyces noursei	1	4	5	2	1	0	54	54	19	12	0	0	5	7	28	20	0	0	0	0	34	39	41	59	2	2	12	3	9	14	1	0	1	2	0	2	2	0	2	0
Streptomyces chartreusis	1	1	2	1	9	0	76	59	4	3	0	1	5	2	33	29	0	3	1	0	53	37	99	93	3	1	21	28	16	17	1	0	0	3	3	1	1	1	1	2
Streptomyces sp. SirexAA-E	1	5	8	12	4	1	293	243	8	12	0	1	7	2	30	28	0	2	0	1	45	36	110	92	1	1	20	19	13	10	0	1	2	1	1	2	2	1	1	1
Streptomyces actuosus	1	5	13	11	3	2	162	145	0	4	1	2	1	2	31	32	3	1	2	1	50	65	129	92	0	3	11	28	11	10	2	3	0	1	3	4	0	2	3	1
Streptomyces sampsonii	1	0	0	0	0	0	7	3	1	0	0	0	0	0	2	2	0	0	1	0	0	3	15	13	1	0	5	2	0	2	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. 769	1	0	2	3	2	1	271	220	5	4	0	1	1	1	31	28	3	1	2	0	30	32	51	51	1	1	10	13	7	3	1	1	1	2	3	0	0	1	0	2
Kitasatospora aureofaciens	5	3	11	6	0	2	122	144	4	7	0	3	1	2	41	43	1	0	0	0	57	83	146	115	0	1	26	15	19	17	1	3	2	2	1	5	0	0	1	2
